iter	Passed	Remaining
0	28	2778
1	42	2079
2	65	2110
3	84	2021
4	100	1913
5	117	1835
6	134	1784
7	197	2270
8	213	2158
9	229	2067
10	246	1995
11	265	1943
12	281	1884
13	295	1815
14	309	1753
15	318	1673
16	326	1595
17	332	1516
18	339	1446
19	346	1384
20	352	1327
21	359	1274
22	365	1223
23	371	1177
24	383	1149
25	397	1131
26	426	1152
27	439	1128
28	451	1105
29	465	1087
30	480	1069
31	494	1051
32	509	1033
33	522	1014
34	535	994
35	549	976
36	564	961
37	582	949
38	597	934
39	611	917
40	629	905
41	644	890
42	660	875
43	678	863
44	695	850
45	831	976
46	838	945
47	845	916
48	853	888
49	860	860
50	868	833
51	876	808
52	883	783
53	891	759
54	899	736
55	907	713
56	915	690
57	923	668
58	931	647
59	938	625
60	944	603
61	951	583
62	960	563
63	967	544
64	977	526
65	985	507
66	991	488
67	997	469
68	1004	451
69	1010	432
70	1016	415
71	1022	397
72	1029	380
73	1035	363
74	1040	346
75	1045	330
76	1057	316
77	1063	300
78	1069	284
79	1076	269
80	1082	253
81	1089	239
82	1094	224
83	1101	209
84	1107	195
85	1115	181
86	1120	167
87	1125	153
88	1131	139
89	1136	126
90	1141	112
91	1146	99
92	1152	86
93	1205	76
94	1216	64
95	1301	54
96	1315	40
97	1327	27
98	1338	13
99	1345	0
